,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Uttar Pradesh,199812341,203854544.7,207978522.1,212185927.6,216478448.9,220857807.9,225325761.4,229884101.5,234534656.9,239279293,244119913.1,249058459,254096911.6,259237292.1,264481662.5,269832126.6,275290830.5,280859964,286541761.1,292338500.9,298252508.8,304286157,310441866,316722104.9,323129393.1,329666300.7,336335450,343139516.1,350081228.5,357163371.8,364388786.8,371760372,379281084.3,386953940.6,394782018.8,402768459.1,410916465,419229305.1,427710313.9,436362893.6
Maharashtra,112374333,114171198.6,115996796.1,117851584.8,119736031.7,121650610.8,123595804.1,125572101,127579998.9,129620003.1,131692626.9,133798392,135937828.3,138111474.2,140319876.6,142563591.5,144843183.3,147159225.8,149512301.8,151903003.5,154331932.6,156799700.2,159306927.4,161854245.1,164442294.5,167071726.8,169743203.7,172457397.5,175214991.3,178016679,180863165.7,183755167.8,186693412.9,189678640.6,192711602,195793060.5,198923791.6,202104583,205336235.3,208619561.7
Bihar,104099452,106745660.1,109459134.7,112241586,115094767.1,118020476,121020556.5,124096899.1,127251442.3,130486173.9,133803132.5,137204408.1,140692144.2,144268538.5,147935844.7,151696373.9,155552495.7,159506640.1,163561298.9,167719027.2,171982444.8,176354238.6,180837163.3,185434044,190147777.4,194981333.9,199937759.4,205020177.3,210231790.2,215575882.3,221055821.2,226675060.2,232437140.2,238345692.3,244404439.8,250617200.7,256987889.9,263520522.1,270219213.7,277088186.2
West Bengal,91276115,92539376.43,93820121.4,95118591.88,96435033.19,97769694.05,99122826.62,100494686.5,101885533,103295628.8,104725240.3,106174637.6,107644094.6,109133888.9,110644301.9,112175619,113728129.6,115302126.9,116897908.3,118515775.4,120156033.7,121818993.2,123504968.1,125214276.8,126947242.4,128704192.3,130485458.3,132291377,134122289.7,135978542.2,137860485.2,139768474.3,141702870,143664037.7,145652348,147668176.5,149711904.1,151783916.8,153884606.2,156014369.2
Andhra Pradesh,84580777,85509473.93,86448367.96,87397571.04,88357196.37,89327358.38,90308172.78,91299756.51,92302227.84,93315706.3,94340312.76,95376169.39,96423399.73,97482128.66,98552482.43,99634588.69,100728576.5,101834576.2,102952719.9,104083140.8,105225973.6,106381354.8,107549422.1,108730314.8,109924173.6,111131141,112351361,113584978.9,114832142,116092998.9,117367700,118656397.4,119959244.6,121276397.1,122608012,123954247.9,125315265.6,126691227.2,128082296.9,129488640.5
Madhya Pradesh,72626809,74104764.56,75612796.52,77151516.93,78721550.3,80323533.85,81958117.76,83625965.46,85327753.86,87064173.65,88835929.58,90643740.75,92488340.87,94370478.61,96290917.85,98250438.03,100249834.4,102289918.6,104371518.4,106495478.8,108662661.8,110873947,113130231.8,115432432,117781482,120178335.2,122623964.3,125119362,127665541,130263534.7,132914397.7,135619205.7,138379056.5,141195070.3,144068390,147000181.7,149991635.4,153043965.2,156158409.9,159336233.5
Tamil Nadu,72147030,73273245.14,74417040.49,75578690.5,76758473.86,77956673.63,79173577.31,80409476.85,81664668.78,82939454.26,84234139.14,85549034.06,86884454.48,88240720.81,89618158.46,91017097.92,92437874.82,93880830.04,95346309.8,96834665.69,98346254.83,99881439.86,101440589.1,103024076.7,104632282.6,106265592.5,107924398.4,109609098.3,111320096.3,113057803,114822635.3,116615016.6,118435377,120284153.3,122161788.9,124068734.4,126005447.4,127972392.4,129970041.5,131998873.8
Rajasthan,68548437,70009204.19,71501100.33,73024788.78,74580947.03,76170267.01,77793455.4,79451233.94,81144339.73,82873525.61,84639560.44,86443229.48,88285334.7,90166695.18,92088147.45,94050545.87,96054763.01,98101690.01,100192237,102327333.6,104507929.1,106734993,109009515.7,111332508.5,113705004.3,116128057.9,118602746.8,121130171.4,123711455.3,126347746.4,129040216.9,131790063.9,134598510.2,137466804.4,140396222,143388065.5,146443665.2,149564379.7,152751596.7,156006733.2
Karnataka,61095297,62048383.63,63016338.42,63999393.3,64997783.83,66011749.26,67041532.55,68087380.46,69149543.59,70228276.47,71323837.58,72436489.45,73566498.69,74714136.07,75879676.59,77063399.54,78265588.58,79486531.76,80726521.65,81985855.39,83264834.74,84563766.16,85882960.91,87222735.1,88583409.77,89965310.96,91368769.81,92794122.62,94241710.93,95711881.62,97204986.98,98721384.77,100261438.4,101825516.8,103413994.9,105027253.2,106665678.3,108329662.9,110019605.7,111735911.5
Gujarat,60439692,61604969.26,62792713.07,64003356.58,65237341.29,66495117.23,67777143.09,69083886.41,70415823.74,71773440.82,73157232.76,74567704.21,76005369.55,77470753.07,78964389.19,80486822.61,82038608.55,83620312.93,85232512.56,86875795.4,88550760.74,90258019.41,91998194.02,93771919.2,95579841.8,97422621.15,99300929.29,101215451.2,103166885.1,105155942.6,107183349.2,109249844.2,111356181.2,113503128.4,115691468.7,117922000.2,120195536.4,122512906.3,124874955.1,127282544.3
