id,name,data_2011,data_2020,percentage
1319,Uttar Pradesh,199812341,1048909290,20.23
1307,Maharashtra,112374333,427023782,15.99
1291,Bihar,104099452,799373250,25.42
1321,West Bengal,91276115,293096836,13.84
1288,Andhra Pradesh,84580777,216010148,10.98
1306,Madhya Pradesh,72626809,384690812,20.35
1317,Tamil Nadu,72147030,266181009,15.61
1315,Rajasthan,68548437,390002132,21.31
1303,Karnataka,61095297,225231063,15.6
1298,Gujarat,60439692,295413893,19.28
1312,Orissa,41974218,137037750,14.05
1304,Kerala,33406061,51425349,4.91
1302,Jharkhand,32988134,203717869,22.42
1290,Assam,31205576,128896987,17.07
1314,Punjab,27743338,89439435,13.89
1293,Chhattisgarh,25545198,159971385,22.61
1299,Haryana,25351462,129830179,19.9
1296,Delhi,16787941,94807674,21.21
1301,Jammu Kashmir,12541302,84678585,23.64
1320,Uttarakhand,10086292,47578253,18.81
1300,Himachal Pradesh,6864602,20523215,12.94
1318,Tripura,3673917,12763447,14.84
1309,Meghalaya,2966889,27268667,27.95
1308,Manipur,2855794,20523481,24.5
1311,Nagaland,1978502,1891229,-0.58
1297,Goa,1458545,2971999,8.23
1289,Arunachal Pradesh,1383727,11099817,26.03
1313,Puducherry,1247953,11575242,28.08
1310,Mizoram,1097206,7322472,23.48
1292,Chandigarh,1055450,4399999,17.19
1316,Sikkim,610577,1818191,12.89
1287,Andaman and Nicobar Islands,380581,691486,6.86
1294,Dadra and Nagar Haveli,343709,18676886,55.88
1295,Daman and Diu,243247,11685245,53.76
1305,Lakshadweep,64473,111731,6.3
