id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Hokkaido,5683000,5671523.182,5660069.54,5648639.03,5637231.603,5625847.214,5614485.816,5603147.362,5591831.806,5580539.101,5569269.203,5558022.063,5546797.638,5535595.88,5524416.744,5513260.185,5502126.156,5491014.612,5479925.508,5468858.798,5457814.438,5446792.382,5435792.584,5424815.001,5413859.587,5402926.298,5392015.088,5381125.914,5370258.73,5359413.493,5348590.157,5337788.679,5327009.015,5316251.12,5305514.951,5294800.464,5284107.614,5273436.359,5262786.654,5252158.456,5241551.722,5230966.409,5220402.472,5209859.869,5199338.557,5188838.493,5178359.634,5167901.936,5157465.358,5147049.857,5136655.39
Aomori,1476000,1469505.6,1463039.775,1456602.4,1450193.35,1443812.499,1437459.724,1431134.901,1424837.908,1418568.621,1412326.919,1406112.681,1399925.785,1393766.111,1387633.54,1381527.953,1375449.23,1369397.253,1363371.905,1357373.069,1351400.627,1345454.465,1339534.465,1333640.513,1327772.495,1321930.296,1316113.803,1310322.902,1304557.481,1298817.428,1293102.632,1287412.98,1281748.363,1276108.67,1270493.792,1264903.619,1259338.043,1253796.956,1248280.249,1242787.816,1237319.55,1231875.344,1226455.092,1221058.69,1215686.032,1210337.013,1205011.53,1199709.48,1194430.758,1189175.263,1183942.891
Iwate,1416000,1410336,1404694.656,1399075.877,1393479.574,1387905.656,1382354.033,1376824.617,1371317.318,1365832.049,1360368.721,1354927.246,1349507.537,1344109.507,1338733.069,1333378.137,1328044.624,1322732.446,1317441.516,1312171.75,1306923.063,1301695.37,1296488.589,1291302.635,1286137.424,1280992.874,1275868.903,1270765.427,1265682.366,1260619.636,1255577.158,1250554.849,1245552.63,1240570.419,1235608.137,1230665.705,1225743.042,1220840.07,1215956.709,1211092.883,1206248.511,1201423.517,1196617.823,1191831.352,1187064.026,1182315.77,1177586.507,1172876.161,1168184.656,1163511.918,1158857.87
Miyagi,2365000,2363817.5,2362635.591,2361454.273,2360273.546,2359093.41,2357913.863,2356734.906,2355556.538,2354378.76,2353201.571,2352024.97,2350848.958,2349673.533,2348498.696,2347324.447,2346150.785,2344977.709,2343805.22,2342633.318,2341462.001,2340291.27,2339121.125,2337951.564,2336782.588,2335614.197,2334446.39,2333279.167,2332112.527,2330946.471,2329780.998,2328616.107,2327451.799,2326288.073,2325124.929,2323962.367,2322800.385,2321638.985,2320478.166,2319317.927,2318158.268,2316999.189,2315840.689,2314682.769,2313525.427,2312368.665,2311212.48,2310056.874,2308901.846,2307747.395,2306593.521
Akita,1189000,1182817.2,1176666.551,1170547.884,1164461.035,1158405.838,1152382.128,1146389.741,1140428.514,1134498.286,1128598.895,1122730.18,1116891.983,1111084.145,1105306.508,1099558.914,1093841.207,1088153.233,1082494.836,1076865.863,1071266.161,1065695.577,1060153.96,1054641.159,1049157.025,1043701.409,1038274.161,1032875.136,1027504.185,1022161.163,1016845.925,1011558.326,1006298.223,1001065.472,995859.9317,990681.4601,985529.9165,980405.1609,975307.0541,970235.4574,965190.233,960171.2438,955178.3533,950211.4259,945270.3265,940354.9208,935465.0752,930600.6568,925761.5334,920947.5734,916158.646
Yamagata,1244000,1239148.4,1234315.721,1229501.89,1224706.833,1219930.476,1215172.747,1210433.573,1205712.882,1201010.602,1196326.661,1191660.987,1187013.509,1182384.156,1177772.858,1173179.544,1168604.144,1164046.588,1159506.806,1154984.729,1150480.289,1145993.416,1141524.041,1137072.098,1132637.516,1128220.23,1123820.171,1119437.273,1115071.467,1110722.689,1106390.87,1102075.946,1097777.849,1093496.516,1089231.879,1084983.875,1080752.438,1076537.503,1072339.007,1068156.885,1063991.073,1059841.508,1055708.126,1051590.864,1047489.66,1043404.45,1039335.173,1035281.766,1031244.167,1027222.315,1023216.148
Fukushima,2127000,2120619,2114257.143,2107914.372,2101590.628,2095285.857,2088999.999,2082732.999,2076484.8,2070255.346,2064044.58,2057852.446,2051678.888,2045523.852,2039387.28,2033269.118,2027169.311,2021087.803,2015024.54,2008979.466,2002952.528,1996943.67,1990952.839,1984979.981,1979025.041,1973087.966,1967168.702,1961267.196,1955383.394,1949517.244,1943668.692,1937837.686,1932024.173,1926228.1,1920449.416,1914688.068,1908944.004,1903217.172,1897507.52,1891814.998,1886139.553,1880481.134,1874839.69,1869215.171,1863607.526,1858016.703,1852442.653,1846885.325,1841344.669,1835820.635,1830313.173
Ibaraki,2986000,2985402.8,2984805.719,2984208.758,2983611.917,2983015.194,2982418.591,2981822.107,2981225.743,2980629.498,2980033.372,2979437.365,2978841.478,2978245.709,2977650.06,2977054.53,2976459.119,2975863.828,2975268.655,2974673.601,2974078.666,2973483.851,2972889.154,2972294.576,2971700.117,2971105.777,2970511.556,2969917.454,2969323.47,2968729.605,2968135.86,2967542.232,2966948.724,2966355.334,2965762.063,2965168.911,2964575.877,2963982.962,2963390.165,2962797.487,2962204.928,2961612.487,2961020.164,2960427.96,2959835.875,2959243.907,2958652.059,2958060.328,2957468.716,2956877.222,2956285.847
Tochigi,2005000,2004198,2003396.321,2002594.962,2001793.924,2000993.207,2000192.809,1999392.732,1998592.975,1997793.538,1996994.421,1996195.623,1995397.145,1994598.986,1993801.146,1993003.626,1992206.424,1991409.542,1990612.978,1989816.733,1989020.806,1988225.198,1987429.908,1986634.936,1985840.282,1985045.946,1984251.927,1983458.226,1982664.843,1981871.777,1981079.028,1980286.597,1979494.482,1978702.684,1977911.203,1977120.039,1976329.191,1975538.659,1974748.444,1973958.544,1973168.961,1972379.693,1971590.741,1970802.105,1970013.784,1969225.779,1968438.088,1967650.713,1966863.653,1966076.907,1965290.477
Gumma,2025000,2023380,2021761.296,2020143.887,2018527.772,2016912.95,2015299.419,2013687.18,2012076.23,2010466.569,2008858.196,2007251.109,2005645.308,2004040.792,2002437.559,2000835.609,1999234.941,1997635.553,1996037.445,1994440.615,1992845.062,1991250.786,1989657.785,1988066.059,1986475.606,1984886.426,1983298.517,1981711.878,1980126.508,1978542.407,1976959.573,1975378.006,1973797.703,1972218.665,1970640.89,1969064.377,1967489.126,1965915.135,1964342.402,1962770.929,1961200.712,1959631.751,1958064.046,1956497.595,1954932.397,1953368.451,1951805.756,1950244.311,1948684.116,1947125.168,1945567.468
